order_id,order_date,region,product,quantity,revenue
ORD000081,2025-09-27 23:59:45.645053,West,Soy Sauce 200ml,13,4317.43
ORD000082,2025-02-12 23:59:45.645053,East,Mango Juice 1L,21,7140.21
ORD000083,2025-05-31 23:59:45.645053,Central,Water Bottle 1L,3,1283.1
ORD000084,2025-05-19 23:59:45.645053,North,Paneer 200g,50,4691.5
ORD000085,2025-06-21 23:59:45.645053,West,Biscuits 200g,3,334.11
ORD000086,2025-02-10 23:59:45.645053,North,Paneer 200g,31,4186.86
ORD000087,2025-10-07 23:59:45.645053,,Tomato Ketchup 500g,49,22470.91
ORD000088,2025-09-21 23:59:45.645053,Central,Tomato Ketchup 500g,7,2400.23
ORD000089,2026-02-01 23:59:45.645053,East,Dal Tadka Ready Meal,13,2893.7999999999997
ORD000090,2025-12-30 23:59:45.645053,South,Paneer Curry Ready Meal,15,3273.75
ORD000091,2025-08-25 23:59:45.645053,North,Chili Sauce 250g,23,11436.060000000001
ORD000092,2025-09-08 23:59:45.645053,Central,Chili Sauce 250g,49,2104.06
ORD000093,2025-07-05 23:59:45.645053,North,Soy Sauce 200ml,49,3549.07
ORD000094,2025-03-07 23:59:45.645053,East,Potato Chips 50g,37,8960.66
ORD000095,2025-02-27 23:59:45.645053,East,Water Bottle 1L,5,2018.8999999999999
ORD000096,2025-09-05 23:59:45.645053,West,Milk 1L,9,3787.2000000000003
ORD000097,2025-06-06 23:59:45.645053,,Potato Chips 50g,17,5657.09
ORD000098,2025-05-25 23:59:45.645053,Central,Yogurt 500g,1,259.1
ORD000099,2025-10-19 23:59:45.645053,West,Cheese Spread 100g,12,3383.16
ORD000100,2025-11-09 23:59:45.645053,East,Paneer Curry Ready Meal,11,752.51
ORD000101,2025-08-20 23:59:45.645053,South,Cola 500ml,45,2300.4
ORD000102,2025-09-24 23:59:45.645053,East,Milk 1L,33,5727.8099999999995
ORD000103,2025-04-03 23:59:45.645053,Central,Potato Chips 50g,15,2109.3
ORD000104,,Central,Biscuits 200g,28,2074.7999999999997
ORD000105,2025-07-30 23:59:45.645053,East,Paneer 200g,2,928.48
ORD000106,2025-08-16 23:59:45.645053,South,Tomato Ketchup 500g,45,5790.6
ORD000107,2026-01-20 23:59:45.645053,West,Mango Juice 1L,7,2942.1
ORD000108,invalid_date,Central,Chili Sauce 250g,26,9762.220000000001
ORD000109,2026-01-04 23:59:45.645053,West,Cheese Spread 100g,36,11372.039999999999
ORD000110,2025-09-22 23:59:45.645053,West,Paneer Curry Ready Meal,42,4692.24
ORD000111,2025-08-07 23:59:45.645053,North,Chili Sauce 250g,43,9051.5
ORD000112,2025-05-05 23:59:45.645053,West,Chicken Biryani Ready Meal,17,7486.29
ORD000113,2025-04-23 23:59:45.645053,South,Water Bottle 1L,8,1169.44
ORD000114,2025-06-23 23:59:45.645053,East,Water Bottle 1L,29,11432.67
ORD000115,2025-08-20 23:59:45.645053,Central,Cola 500ml,27,10168.470000000001
ORD000116,2025-11-29 23:59:45.645053,West,Chili Sauce 250g,22,3676.42
ORD000117,2025-05-24 23:59:45.645053,West,Biscuits 200g,8,265.12
ORD000118,2025-07-12 23:59:45.645053,East,Cola 500ml,10,3988.0
ORD000119,2026-01-08 23:59:45.645053,Central,Paneer 200g,34,16447.16
ORD000120,2025-07-25 23:59:45.645053,East,Paneer 200g,28,10765.16
ORD000121,2025-07-30 23:59:45.645053,North,Dal Tadka Ready Meal,14,6427.259999999999
ORD000122,2025-04-10 23:59:45.645053,North,Milk 1L,10,4309.8
ORD000123,2025-10-29 23:59:45.645053,West,Namkeen Mix 100g,30,1169.7
ORD000124,2025-09-24 23:59:45.645053,Central,Potato Chips 50g,48,7221.12
ORD000125,2025-02-06 23:59:45.645053,,Milk 1L,6,1442.22
ORD000126,2025-06-22 23:59:45.645053,North,Yogurt 500g,4,298.4
ORD000127,2026-01-15 23:59:45.645053,West,Yogurt 500g,16,2157.44
ORD000128,2025-11-28 23:59:45.645053,East,Yogurt 500g,2,411.44
ORD000129,2025-10-05 23:59:45.645053,West,Cheese Spread 100g,13,6388.98
ORD000130,2025-10-26 23:59:45.645053,North,Potato Chips 50g,14,2844.52
ORD000131,2025-05-02 23:59:45.645053,West,Paneer 200g,39,2823.6000000000004
ORD000132,2025-04-15 23:59:45.645053,West,Mango Juice 1L,28,12091.519999999999
ORD000133,2025-04-22 23:59:45.645053,South,Water Bottle 1L,30,612.6
ORD000134,2026-01-28 23:59:45.645053,West,Soy Sauce 200ml,41,543.25
ORD000135,2025-11-25 23:59:45.645053,South,Soy Sauce 200ml,33,11164.23
ORD000136,2025-12-22 23:59:45.645053,South,Namkeen Mix 100g,15,4678.8
ORD000137,2025-07-01 23:59:45.645053,South,Biscuits 200g,38,18745.4
ORD000138,2025-09-03 23:59:45.645053,East,Water Bottle 1L,26,5762.900000000001
ORD000139,2025-06-20 23:59:45.645053,Central,Namkeen Mix 100g,44,9308.64
ORD000140,2025-04-26 23:59:45.645053,West,Paneer Curry Ready Meal,30,10965.599999999999
ORD000141,2025-03-19 23:59:45.645053,West,Yogurt 500g,49,4608.45
ORD000142,2025-06-27 23:59:45.645053,South,Water Bottle 1L,9,3266.91
ORD000143,2025-10-27 23:59:45.645053,West,Chili Sauce 250g,11,3151.17
ORD000144,,West,Paneer Curry Ready Meal,19,1489.79
ORD000145,2025-10-12 23:59:45.645053,South,Dal Tadka Ready Meal,16,2950.56
ORD000146,2025-07-27 23:59:45.645053,South,Paneer Curry Ready Meal,26,8806.98
ORD000147,2025-04-18 23:59:45.645053,North,Chicken Biryani Ready Meal,15,5402.400000000001
ORD000148,2025-05-15 23:59:45.645053,North,Soy Sauce 200ml,26,11288.42
ORD000149,2025-04-12 23:59:45.645053,Central,Tomato Ketchup 500g,36,17801.64
ORD000150,2026-01-20 23:59:45.645053,East,Water Bottle 1L,17,1292.68
ORD000151,2025-03-23 23:59:45.645053,West,Soy Sauce 200ml,46,5564.16
ORD000152,2025-05-09 23:59:45.645053,North,Tomato Ketchup 500g,42,13099.8
ORD000153,invalid_date,Central,Soy Sauce 200ml,39,6209.969999999999
ORD000154,2026-01-08 23:59:45.645053,East,Cheese Spread 100g,20,4748.6
ORD000155,2025-05-20 23:59:45.645053,Central,Water Bottle 1L,2,167.62
ORD000156,2025-02-10 23:59:45.645053,North,Potato Chips 50g,36,7551.0
ORD000157,invalid_date,West,Water Bottle 1L,25,10871.0
ORD000158,2025-05-26 23:59:45.645053,North,Water Bottle 1L,25,9531.5
ORD000159,2025-07-15 23:59:45.645053,South,Potato Chips 50g,7,2184.0699999999997
ORD000160,invalid_date,West,Yogurt 500g,8,3474.96
ORD000161,2025-05-13 23:59:45.645053,West,Milk 1L,43,11616.449999999999
ORD000162,2025-06-23 23:59:45.645053,Central,Dal Tadka Ready Meal,32,361.92
ORD000163,2025-02-24 23:59:45.645053,South,Cola 500ml,38,3073.4399999999996
ORD000131,2025-06-24 23:59:45.645053,Central,Paneer Curry Ready Meal,4,92.64
ORD000165,2025-12-04 23:59:45.645053,West,Cola 500ml,25,7747.25
ORD000166,,North,Yogurt 500g,13,5410.860000000001
ORD000167,2025-06-15 23:59:45.645053,North,Namkeen Mix 100g,37,6663.7
ORD000168,2025-07-12 23:59:45.645053,South,Chicken Biryani Ready Meal,50,14305.5
ORD000169,invalid_date,East,Yogurt 500g,10,3949.8
ORD000170,2025-09-10 23:59:45.645053,West,Dal Tadka Ready Meal,29,11835.19
ORD000171,2026-01-23 23:59:45.645053,South,Water Bottle 1L,35,13170.150000000001
ORD000022,2025-02-28 23:59:45.645053,Central,Chicken Biryani Ready Meal,-4,-811.96
ORD000173,2025-12-01 23:59:45.645053,North,Milk 1L,47,4217.31
ORD000174,2025-11-25 23:59:45.645053,East,Dal Tadka Ready Meal,8,3836.48
ORD000175,2025-02-23 23:59:45.645053,South,Cheese Spread 100g,33,8720.91
ORD000176,2025-11-03 23:59:45.645053,Central,Cheese Spread 100g,20,2983.2
ORD000177,2025-05-14 23:59:45.645053,East,Paneer 200g,-7,-2462.8799999999997
ORD000178,2025-02-12 23:59:45.645053,West,Dal Tadka Ready Meal,26,7097.220000000001
ORD000179,2026-01-30 23:59:45.645053,West,Yogurt 500g,50,24426.0
ORD000180,2025-09-18 23:59:45.645053,West,Chicken Biryani Ready Meal,19,8137.129999999999
ORD000181,2025-12-11 23:59:45.645053,West,Chili Sauce 250g,17,981.92
ORD000182,2025-08-08 23:59:45.645053,East,Milk 1L,36,9704.16
ORD000183,2025-06-28 23:59:45.645053,East,Paneer 200g,29,4561.41
ORD000184,2026-01-21 23:59:45.645053,Central,Chicken Biryani Ready Meal,17,4814.57
ORD000185,2025-09-08 23:59:45.645053,South,Cola 500ml,26,1210.82
ORD000186,2025-05-06 23:59:45.645053,East,Water Bottle 1L,47,9972.93
ORD000187,2025-03-06 23:59:45.645053,North,Biscuits 200g,39,656.76
ORD000188,2025-03-23 23:59:45.645053,Central,Paneer 200g,8,3419.2
ORD000189,2025-09-11 23:59:45.645053,North,Milk 1L,3,730.08
ORD000190,2025-06-30 23:59:45.645053,South,Yogurt 500g,8,3901.12
ORD000191,2026-01-11 23:59:45.645053,South,Yogurt 500g,38,2286.08
ORD000192,2025-03-20 23:59:45.645053,Central,Yogurt 500g,28,1485.68
ORD000193,2025-02-07 23:59:45.645053,North,Tomato Ketchup 500g,13,2039.31
ORD000194,2025-04-24 23:59:45.645053,East,Paneer 200g,39,12815.79
ORD000195,2025-02-12 23:59:45.645053,East,Paneer Curry Ready Meal,30,10593.6
ORD000196,2025-06-15 23:59:45.645053,Central,Biscuits 200g,1,43.64
ORD000197,2025-05-06 23:59:45.645053,West,Paneer Curry Ready Meal,15,2870.7
ORD000054,2025-02-11 23:59:45.645053,East,Milk 1L,37,3219.0
ORD000199,2025-06-18 23:59:45.645053,West,Milk 1L,11,144.76
ORD000200,2025-04-24 23:59:45.645053,South,Dal Tadka Ready Meal,42,15299.34
ORD000201,2025-03-06 23:59:45.645053,South,Milk 1L,24,5870.4
ORD000202,2025-08-10 23:59:45.645053,Central,Dal Tadka Ready Meal,25,6239.5
ORD000203,2026-01-30 23:59:45.645053,South,Biscuits 200g,33,12181.289999999999
ORD000204,2025-08-11 23:59:45.645053,East,Namkeen Mix 100g,8,2628.32
ORD000205,2025-12-18 23:59:45.645053,South,Cheese Spread 100g,8,1981.44
ORD000206,2025-07-11 23:59:45.645053,North,Dal Tadka Ready Meal,16,5176.96
ORD000207,2025-07-26 23:59:45.645053,West,Paneer 200g,21,6598.2
ORD000208,2025-08-05 23:59:45.645053,East,Water Bottle 1L,30,5480.099999999999
ORD000209,invalid_date,North,Chicken Biryani Ready Meal,15,5664.599999999999
ORD000210,2025-11-11 23:59:45.645053,Central,Milk 1L,8,616.72
ORD000211,2026-01-17 23:59:45.645053,East,Biscuits 200g,5,2219.7999999999997
ORD000212,2025-12-17 23:59:45.645053,North,Yogurt 500g,1,117.52
ORD000213,2025-04-08 23:59:45.645053,South,Mango Juice 1L,6,1743.3000000000002
ORD000214,2025-03-11 23:59:45.645053,Central,Namkeen Mix 100g,50,3809.5
ORD000215,2025-12-04 23:59:45.645053,West,Chili Sauce 250g,4,186.04
ORD000216,2026-01-17 23:59:45.645053,North,Chicken Biryani Ready Meal,29,7764.17
ORD000087,2025-03-23 23:59:45.645053,West,Namkeen Mix 100g,39,8243.82
ORD000218,2025-05-11 23:59:45.645053,North,Biscuits 200g,19,9372.13
ORD000219,2025-11-29 23:59:45.645053,South,Potato Chips 50g,33,1544.3999999999999
ORD000220,2025-11-21 23:59:45.645053,Central,Dal Tadka Ready Meal,16,6260.32
ORD000221,2025-08-06 23:59:45.645053,West,Chicken Biryani Ready Meal,46,5268.84
ORD000222,,West,Biscuits 200g,29,1900.08
ORD000223,2025-04-25 23:59:45.645053,South,Potato Chips 50g,46,12328.0
ORD000224,2025-06-22 23:59:45.645053,Central,Chili Sauce 250g,23,10317.57
ORD000225,2025-12-01 23:59:45.645053,North,Chili Sauce 250g,47,7926.55
ORD000226,2025-06-17 23:59:45.645053,North,Soy Sauce 200ml,32,13117.12
ORD000227,,Central,Soy Sauce 200ml,23,10692.01
ORD000149,2025-06-27 23:59:45.645053,East,Milk 1L,10,1107.7
ORD000229,2025-02-11 23:59:45.645053,North,Potato Chips 50g,7,1499.75
ORD000230,2025-10-09 23:59:45.645053,North,Paneer Curry Ready Meal,30,715.2
ORD000231,2025-04-04 23:59:45.645053,North,Chicken Biryani Ready Meal,35,13689.55
ORD000232,2025-11-26 23:59:45.645053,North,Chili Sauce 250g,12,5892.0
ORD000233,2025-04-02 23:59:45.645053,North,Mango Juice 1L,19,3721.34
ORD000234,2025-06-08 23:59:45.645053,North,Chili Sauce 250g,37,630.85
ORD000235,2025-04-16 23:59:45.645053,West,Tomato Ketchup 500g,44,12133.88
ORD000236,2025-09-14 23:59:45.645053,East,Biscuits 200g,46,17176.399999999998
ORD000237,2026-01-18 23:59:45.645053,North,Namkeen Mix 100g,39,6993.09
ORD000238,2025-03-14 23:59:45.645053,Central,Paneer 200g,8,2287.04
ORD000239,2026-01-14 23:59:45.645053,East,Biscuits 200g,19,3213.66
ORD000240,2025-02-27 23:59:45.645053,West,Chicken Biryani Ready Meal,35,4735.85
ORD000241,2025-08-28 23:59:45.645053,South,Cola 500ml,24,7425.599999999999
ORD000242,2025-05-25 23:59:45.645053,West,Potato Chips 50g,29,638.58
ORD000243,2025-11-23 23:59:45.645053,North,Tomato Ketchup 500g,40,4513.2
ORD000244,invalid_date,Central,Dal Tadka Ready Meal,13,5239.91
ORD000245,2025-05-14 23:59:45.645053,North,Dal Tadka Ready Meal,37,1267.99
ORD000246,2025-11-06 23:59:45.645053,East,Paneer 200g,-9,-954.99
ORD000247,2025-12-10 23:59:45.645053,South,Chili Sauce 250g,1,79.62
ORD000248,2025-07-05 23:59:45.645053,Central,Water Bottle 1L,10,4579.8
ORD000249,2025-10-03 23:59:45.645053,North,Namkeen Mix 100g,50,8230.5
ORD000250,2026-01-09 23:59:45.645053,West,Paneer Curry Ready Meal,40,1801.2
ORD000251,2025-09-09 23:59:45.645053,North,Yogurt 500g,33,6344.910000000001
ORD000252,2025-12-23 23:59:45.645053,North,Mango Juice 1L,34,12420.88
ORD000253,2025-05-25 23:59:45.645053,South,Namkeen Mix 100g,37,7329.7
ORD000254,,Central,Cheese Spread 100g,50,14969.5
ORD000255,2026-01-09 23:59:45.645053,West,Soy Sauce 200ml,42,9397.5
ORD000256,2025-07-15 23:59:45.645053,West,Cheese Spread 100g,41,17079.78
ORD000257,2025-07-12 23:59:45.645053,West,Chili Sauce 250g,37,5763.86
ORD000258,,North,Dal Tadka Ready Meal,15,6771.9
ORD000259,2025-04-29 23:59:45.645053,North,Dal Tadka Ready Meal,17,4672.96
ORD000260,2025-08-09 23:59:45.645053,North,Milk 1L,43,12082.140000000001
ORD000261,2025-08-20 23:59:45.645053,North,Potato Chips 50g,13,1276.99
ORD000262,2025-03-21 23:59:45.645053,East,Cola 500ml,17,437.75
ORD000263,2025-04-06 23:59:45.645053,Central,Tomato Ketchup 500g,46,584.1999999999999
ORD000264,2026-01-21 23:59:45.645053,East,Chicken Biryani Ready Meal,34,3371.44
ORD000265,2025-10-01 23:59:45.645053,North,Chicken Biryani Ready Meal,5,97.85
ORD000266,2025-09-02 23:59:45.645053,North,Chicken Biryani Ready Meal,41,19680.0
ORD000267,2025-04-22 23:59:45.645053,North,Cheese Spread 100g,35,5901.35
ORD000268,2025-11-26 23:59:45.645053,South,Yogurt 500g,27,4507.38
ORD000269,2026-01-28 23:59:45.645053,Central,Cola 500ml,49,9990.119999999999
ORD000270,2025-08-01 23:59:45.645053,North,Dal Tadka Ready Meal,9,1201.5
ORD000271,2025-03-20 23:59:45.645053,West,Biscuits 200g,42,9850.68
ORD000272,2025-03-17 23:59:45.645053,Central,Cola 500ml,34,9446.900000000001
ORD000273,2025-09-22 23:59:45.645053,South,Cola 500ml,9,1512.72
ORD000274,2025-03-30 23:59:45.645053,North,Tomato Ketchup 500g,43,19179.289999999997
ORD000275,2025-08-18 23:59:45.645053,West,Cola 500ml,36,-4055.04
ORD000276,2025-03-25 23:59:45.645053,South,Water Bottle 1L,9,3678.21
ORD000277,2025-08-12 23:59:45.645053,Central,Yogurt 500g,1,337.7
ORD000278,2025-11-15 23:59:45.645053,West,Cola 500ml,40,15119.2
ORD000279,2025-08-10 23:59:45.645053,West,Yogurt 500g,17,3775.19
ORD000280,2025-05-29 23:59:45.645053,Central,Dal Tadka Ready Meal,48,23246.4
ORD000281,2025-05-23 23:59:45.645053,Central,Chicken Biryani Ready Meal,7,2538.2000000000003
ORD000282,2025-09-23 23:59:45.645053,East,Water Bottle 1L,3,602.34
ORD000283,2025-09-18 23:59:45.645053,South,Mango Juice 1L,23,8116.24
ORD000284,invalid_date,Central,Chicken Biryani Ready Meal,27,6074.7300000000005
ORD000285,2026-01-09 23:59:45.645053,East,Chicken Biryani Ready Meal,19,6799.150000000001
ORD000286,2025-10-13 23:59:45.645053,Central,Cheese Spread 100g,50,3026.5
ORD000287,2025-02-26 23:59:45.645053,East,Namkeen Mix 100g,24,11794.32
ORD000288,2025-05-12 23:59:45.645053,Central,Tomato Ketchup 500g,46,21381.26
ORD000289,2025-06-20 23:59:45.645053,North,Cheese Spread 100g,22,8085.0
ORD000164,2025-06-07 23:59:45.645053,South,Dal Tadka Ready Meal,36,865.08
ORD000291,2025-02-08 23:59:45.645053,West,Dal Tadka Ready Meal,29,10236.710000000001
ORD000292,2025-06-16 23:59:45.645053,West,Namkeen Mix 100g,30,12169.199999999999
ORD000293,2025-03-19 23:59:45.645053,North,Cola 500ml,27,6413.85
ORD000294,2025-04-24 23:59:45.645053,South,Water Bottle 1L,41,9912.98
ORD000295,2025-03-21 23:59:45.645053,East,Potato Chips 50g,32,4069.76
ORD000296,2025-08-10 23:59:45.645053,South,Yogurt 500g,45,8467.65
ORD000297,2025-06-26 23:59:45.645053,West,Tomato Ketchup 500g,20,3046.2
ORD000298,2025-05-31 23:59:45.645053,,Paneer 200g,16,5032.32
ORD000299,2025-04-25 23:59:45.645053,Central,Cola 500ml,45,14006.699999999999
ORD000300,2025-07-12 23:59:45.645053,East,Cola 500ml,4,1898.88
ORD000301,2025-06-25 23:59:45.645053,South,Potato Chips 50g,32,6185.6
ORD000302,2026-01-31 23:59:45.645053,South,Namkeen Mix 100g,40,13694.8
ORD000116,2025-04-03 23:59:45.645053,North,Cola 500ml,24,8817.36
ORD000304,2025-05-17 23:59:45.645053,North,Cola 500ml,20,6409.0
ORD000305,invalid_date,South,Soy Sauce 200ml,42,7532.28
ORD000306,2025-10-27 23:59:45.645053,Central,Water Bottle 1L,10,232.2
ORD000307,2025-05-29 23:59:45.645053,North,Soy Sauce 200ml,38,17436.3
ORD000308,2025-10-27 23:59:45.645053,Central,Cola 500ml,40,1421.6
ORD000309,2025-12-25 23:59:45.645053,West,Milk 1L,18,3466.44
ORD000310,2025-04-01 23:59:45.645053,West,Chili Sauce 250g,18,2661.66
ORD000311,2025-07-11 23:59:45.645053,West,Paneer Curry Ready Meal,2,-950.24
ORD000312,2025-04-07 23:59:45.645053,Central,Paneer 200g,26,5521.62
ORD000313,2025-07-07 23:59:45.645053,East,Paneer Curry Ready Meal,17,1987.3000000000002
ORD000314,2025-08-01 23:59:45.645053,South,Chili Sauce 250g,1,480.82
ORD000315,2025-12-23 23:59:45.645053,North,Paneer Curry Ready Meal,39,-3486.21
ORD000316,2025-11-08 23:59:45.645053,Central,Chicken Biryani Ready Meal,25,12271.0
ORD000317,2025-08-11 23:59:45.645053,South,Water Bottle 1L,48,10203.84
ORD000318,2026-01-01 23:59:45.645053,North,Potato Chips 50g,41,11648.51
ORD000319,2025-03-30 23:59:45.645053,South,Biscuits 200g,26,3213.86
ORD000320,2025-09-14 23:59:45.645053,North,Chili Sauce 250g,34,4483.58
ORD000321,2025-08-24 23:59:45.645053,South,Mango Juice 1L,33,7097.3099999999995
ORD000322,2025-08-08 23:59:45.645053,North,Cola 500ml,25,3979.2499999999995
ORD000323,,North,Milk 1L,19,9003.53
ORD000324,2025-11-07 23:59:45.645053,West,Paneer Curry Ready Meal,41,17150.71
ORD000325,2025-02-24 23:59:45.645053,South,Chili Sauce 250g,18,1760.3999999999999
ORD000326,,North,Paneer 200g,35,15075.9
ORD000327,2025-09-20 23:59:45.645053,East,Potato Chips 50g,14,5522.72
ORD000328,2025-07-09 23:59:45.645053,Central,Milk 1L,7,1612.52
ORD000329,2026-01-16 23:59:45.645053,Central,Milk 1L,8,2233.04
ORD000330,2025-11-28 23:59:45.645053,North,Paneer Curry Ready Meal,32,9320.32
ORD000331,2025-03-25 23:59:45.645053,South,Tomato Ketchup 500g,45,2147.85
ORD000332,2025-12-30 23:59:45.645053,South,Dal Tadka Ready Meal,47,18204.04
ORD000333,2025-10-15 23:59:45.645053,North,Biscuits 200g,30,9837.300000000001
ORD000334,2025-05-30 23:59:45.645053,West,Tomato Ketchup 500g,14,2529.94
